id,left,top,right,bottom,OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,Houses,road_length,road_count,NTLsum,Populationsum,lat,long,AQI,name
"78",8268404.74589469,3700757.53433227,8273404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,15032,350843.500993641,1608,1238,283844.895206451,31.501559,74.306762,58.645,Purple1
"112",8283404.74589469,3710757.53433227,8288404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,1492,374097.620116656,2060,1191,241286.81627655,31.570236,74.412914,166.07,Purple2
"79",8268404.74589469,3695757.53433227,8273404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,28690,447972.90340298,2157,1548,301255.775306702,31.468374,74.301385,156.56,Purple3
"102",8278404.74589469,3700757.53433227,8283404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,10616,313793.60119997,1702,1488,238060.379695892,31.4859,74.3735,185.42,Purple4
"80",8268404.74589469,3690757.53433227,8273404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,25231,324352.838084641,1554,1471,203142.628129959,31.444512,74.309754,169.54,Purple5
"76",8268404.74589469,3710757.53433227,8273404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,647,522175.726836376,5265,1253,298685.520435333,31.565131,74.310783,167.43,Purple6
"103",8278404.74589469,3695757.53433227,8283404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,21035,372722.831733881,1622,1854,271816.341079712,31.480284,74.404699,148.41,Purple7
"90",8273404.74589469,3700757.53433227,8278404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,9327,349920.451756249,1485,1252,290190.248550415,31.485875,74.340391,144.9909584,Node 8
"100",8278404.74589469,3710757.53433227,8283404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,4483,562076.68774528,4160,1473,235460.23740387,31.587203,74.407602,134.2634529,Node 6
"103",8278404.74589469,3695757.53433227,8283404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,21035,372722.831733881,1622,1854,271816.341079712,31.47178,74.408864,130.1922464,Node 4
"110",8283404.74589469,3720757.53433227,8288404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,10368.4234793252,12,397,18064.7029416561,,,,
"111",8283404.74589469,3715757.53433227,8288404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,429,110373.985438467,553,1317,102527.35828495,,,,
"87",8273404.74589469,3715757.53433227,8278404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,3380,217206.566634557,1166,1412,159762.807758331,,,,
"88",8273404.74589469,3710757.53433227,8278404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,5620,562294.667993882,4758,1254,274188.225845337,,,,
"89",8273404.74589469,3705757.53433227,8278404.74589469,3700757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,3725,361006.534074401,1912,1573,313501.872970581,,,,
"82",8268404.74589469,3680757.53433227,8273404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2904,69414.8796928621,137,937,40662.2341227531,,,,
"83",8268404.74589469,3675757.53433227,8273404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2648,40098.6390637456,117,576,27973.8921246529,,,,
"84",8268404.74589469,3670757.53433227,8273404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,11,4949.75155750898,8,158,3889.80423259735,,,,
"86",8273404.74589469,3720757.53433227,8278404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,13674.8357594852,25,279,12054.7930912971,,,,
"95",8273404.74589469,3675757.53433227,8278404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,8227,50071.5407861872,139,600,31876.7719717026,,,,
"96",8273404.74589469,3670757.53433227,8278404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,9102.59219917855,18,231,5024.41277694702,,,,
"98",8278404.74589469,3720757.53433227,8283404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,18861.9034586797,54,350,14433.6858148575,,,,
"99",8278404.74589469,3715757.53433227,8283404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,1953,178242.529646061,938,1657,136666.14977169,,,,
"91",8273404.74589469,3695757.53433227,8278404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,8324,416329.317838274,2240,1545,286567.681613922,,,,
"92",8273404.74589469,3690757.53433227,8278404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,7423,331871.969808107,1691,1474,170714.339046478,,,,
"93",8273404.74589469,3685757.53433227,8278404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,3587,185470.641318344,746,1095,138145.70539093,,,,
"94",8273404.74589469,3680757.53433227,8278404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,15942,70619.7721418947,178,920,37291.9550085068,,,,
"69",8263404.74589469,3685757.53433227,8268404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,25337,313218.3252616,1155,1419,171168.800117493,,,,
"70",8263404.74589469,3680757.53433227,8268404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,20073,192367.602018507,581,1603,110367.083046436,,,,
"71",8263404.74589469,3675757.53433227,8268404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,10001,151227.920320328,335,1022,55375.4884347916,,,,
"72",8263404.74589469,3670757.53433227,8268404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,31903.9204198819,57,497,22230.2301445007,,,,
"65",8263404.74589469,3705757.53433227,8268404.74589469,3700757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,6041,232351.400102274,963,1616,179009.021020889,,,,
"66",8263404.74589469,3700757.53433227,8268404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,17773,360790.497533695,1787,1386,233863.917160034,,,,
"67",8263404.74589469,3695757.53433227,8268404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,22067,376519.472744258,1717,1838,303009.378120422,,,,
"68",8263404.74589469,3690757.53433227,8268404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,23174,364278.7100906,1491,1805,256527.605213165,,,,
"81",8268404.74589469,3685757.53433227,8273404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,16387,189729.530986272,647,1070,111057.16885376,,,,
"74",8268404.74589469,3720757.53433227,8273404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,1485,101678.746396977,304,905,122441.282808781,,,,
"75",8268404.74589469,3715757.53433227,8273404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,346,274652.107623444,1320,1495,244163.698904037,,,,
"77",8268404.74589469,3705757.53433227,8273404.74589469,3700757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,11055,543900.811340051,4082,1564,263598.595218658,,,,
"48",8253404.74589469,3670757.53433227,8258404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,156,14172.421179132,59,287,11297.2421989441,,,,
"53",8258404.74589469,3705757.53433227,8263404.74589469,3700757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,4852.68402921575,4,211,11126.4895086288,,,,
"54",8258404.74589469,3700757.53433227,8263404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,16964.2186055802,15,548,32863.9954621792,,,,
"55",8258404.74589469,3695757.53433227,8263404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,12406,180331.696543619,649,1331,175465.152881622,,,,
"44",8253404.74589469,3690757.53433227,8258404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,3212,132518.005524557,639,1442,140065.857232571,,,,
"45",8253404.74589469,3685757.53433227,8258404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,19308,269192.049886011,1207,1453,215063.138805389,,,,
"46",8253404.74589469,3680757.53433227,8258404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,20426,252322.525677097,860,1755,79671.9959535599,,,,
"47",8253404.74589469,3675757.53433227,8258404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2661,58660.4471552162,116,1174,86867.7829713821,,,,
"60",8258404.74589469,3670757.53433227,8263404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2751,83015.0107206342,233,801,54759.4261264801,,,,
"62",8263404.74589469,3720757.53433227,8268404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,5113.62032536451,34,41.369607753221,4529.25428771973,,,,
"63",8263404.74589469,3715757.53433227,8268404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,115684.891646742,574,713,100013.588804245,,,,
"64",8263404.74589469,3710757.53433227,8268404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,1079,68875.0004969962,213,935,75625.040230751,,,,
"56",8258404.74589469,3690757.53433227,8263404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,25639,327760.882576286,1220,1485,221406.620014191,,,,
"57",8258404.74589469,3685757.53433227,8263404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,16346,221400.044422524,813,1225,188980.286903381,,,,
"58",8258404.74589469,3680757.53433227,8263404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,12407,190560.223514114,661,1502,104880.117996216,,,,
"59",8258404.74589469,3675757.53433227,8263404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,18172,206864.003437358,769,1170,118392.297300339,,,,
"21",8243404.74589469,3685757.53433227,8248404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,178.357476472404,1,130,9147.45044159889,,,,
"22",8243404.74589469,3680757.53433227,8248404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,11169.2117928841,4,524,26935.2835664749,,,,
"23",8243404.74589469,3675757.53433227,8248404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,42956.0669669655,75,746,93313.2268528938,,,,
"24",8243404.74589469,3670757.53433227,8248404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,23403.5691337385,24,395,15839.5002841949,,,,
"10",8238404.74589469,3680757.53433227,8243404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,4865.0199725384,1,241,13328.9706809521,,,,
