,Area(sq_ft),Bedrooms,Kitchen,YearBuilt,Price
0,8450,3,1,2003,208500
1,9600,3,1,1976,181500
2,11250,3,1,2001,223500
3,9550,3,1,1915,140000
4,14260,4,1,2000,250000
5,14115,1,1,1993,143000
6,10084,3,1,2004,307000
7,10382,3,1,1973,200000
8,6120,2,2,1931,129900
9,7420,2,2,1939,118000
10,11200,3,1,1965,129500
11,11924,4,1,2005,345000
12,12968,2,1,1962,144000
13,10652,3,1,2006,279500
14,10920,2,1,1960,157000
15,6120,2,1,1929,132000
16,11241,2,1,1970,149000
17,10791,2,2,1967,90000
18,13695,3,1,2004,159000
19,7560,3,1,1958,139000
20,14215,4,1,2005,325300
21,7449,3,1,1930,139400
22,9742,3,1,2002,230000
23,4224,3,1,1976,129900
24,8246,3,1,1968,154000
25,14230,3,1,2007,256300
26,7200,3,1,1951,134800
27,11478,3,1,2007,306000
28,16321,2,1,1957,207500
29,6324,1,1,1927,68500
30,8500,3,1,1920,40000
31,8544,3,1,1966,149350
32,11049,3,1,2007,179900
33,10552,4,1,1959,165500
34,7313,2,1,2005,277500
35,13418,4,1,2004,309000
36,10859,3,1,1994,145000
37,8532,3,1,1954,153000
38,7922,3,1,1953,109000
39,6040,2,2,1955,82000
40,8658,3,1,1965,160000
41,16905,2,1,1959,170000
42,9180,2,1,1983,144000
43,9200,3,1,1975,130250
44,7945,3,1,1959,141000
45,7658,2,1,2005,319900
46,12822,1,1,2003,239686
47,11096,3,1,2006,249700
48,4456,2,3,1920,113000
49,7742,3,1,1966,127000
50,13869,3,1,1997,177000
51,6240,3,1,1934,114500
52,8472,2,1,1963,110000
53,50271,0,1,1981,385000
54,7134,3,1,1955,130000
55,10175,3,1,1964,180500
56,2645,3,1,1999,172500
57,11645,3,1,2004,196500
58,13682,3,1,2006,438780
59,7200,2,1,1972,124900
60,13072,3,1,2004,158000
61,7200,3,1,1920,101000
62,6442,2,1,2006,202500
63,10300,3,1,1921,140000
64,9375,3,1,1997,219500
65,9591,4,1,2004,317000
66,19900,3,1,1970,180000
67,10665,3,1,2003,226000
68,4608,2,1,1945,80000
69,15593,3,1,1953,225000
70,13651,3,1,1973,244000
71,7599,2,1,1982,129500
72,10141,3,1,1998,185000
73,10200,3,1,1954,144900
74,5790,3,2,1915,107400
75,1596,2,1,1973,91000
76,8475,2,1,1956,135750
77,8635,2,1,1948,127000
78,10778,4,2,1968,136500
79,10440,2,1,1910,110000
80,13000,4,1,1968,193500
81,4500,2,1,1998,153500
82,10206,3,1,2007,245000
83,8892,3,1,1960,126500
84,8530,3,1,1995,168500
85,16059,4,1,1991,260000
86,11911,3,1,2005,174000
87,3951,2,1,2009,164500
88,8470,2,1,1915,85000
89,8070,3,1,1994,123600
90,7200,2,1,1950,109900
91,8500,2,1,1961,98600
92,13360,2,1,1921,163500
93,7200,4,2,1910,133900
94,9337,3,1,1997,204750
95,9765,3,1,1993,185000
96,10264,3,1,1999,214000
97,10921,3,1,1965,94750
98,10625,2,1,1920,83000
99,9320,3,1,1959,128950
100,10603,3,1,1977,205000
101,9206,3,1,1985,178000
102,7018,4,2,1979,118964
103,10402,3,1,2009,198900
104,7758,4,1,1931,169500
105,9375,3,1,2003,250000
106,10800,2,1,1885,100000
107,6000,2,1,1948,115000
108,8500,3,1,1919,115000
109,11751,3,1,1977,190000
110,9525,4,1,1954,136900
111,7750,3,1,2000,180000
112,9965,4,1,2007,383970
113,21000,3,1,1953,217000
114,7259,3,1,1945,259500
115,3230,2,1,1999,176000
116,11616,3,1,1962,139000
117,8536,2,1,2006,155000
118,12376,5,1,1990,320000
119,8461,3,1,2005,163990
120,21453,1,1,1969,180000
121,6060,3,1,1939,100000
122,9464,3,1,1958,136000
123,7892,2,1,1993,153900
124,17043,3,1,1979,181000
125,6780,2,1,1935,84500
126,4928,2,1,1976,128000
127,4388,3,1,1930,87000
128,7590,3,1,1966,155000
129,8973,3,1,1958,150000
130,14200,4,1,1966,226000
131,12224,3,1,2000,244000
132,7388,3,1,1959,150750
133,6853,2,1,2001,220000
134,10335,3,1,1968,180000
135,10400,3,1,1970,174000
136,10355,3,1,1967,143000
137,11070,5,2,1988,171000
138,9066,3,1,1999,230000
139,15426,3,1,1997,231500
140,10500,3,1,1971,115000
141,11645,3,1,2005,260000
142,8520,4,1,1952,166000
143,10335,3,1,1999,204000
144,9100,6,2,1963,125000
145,2522,3,1,2004,130000
146,6120,2,1,1931,105000
147,9505,3,1,2001,222500
148,7500,3,1,2004,141000
149,6240,3,1,1936,115000
150,10356,3,1,1975,122000
151,13891,2,1,2007,372402
152,14803,4,1,1971,190000
153,13500,1,1,1960,235000
154,11340,4,1,1923,125000
155,9600,2,1,1924,79000
156,7200,2,1,1950,109500
157,12003,4,1,2009,269500
158,12552,3,1,2004,254900
159,19378,4,1,2005,320000
160,11120,3,1,1984,162500
161,13688,3,1,2003,412500
162,12182,3,1,2005,220000
163,5500,1,1,1956,103200
164,5400,3,1,1926,152000
165,10106,4,2,1940,127500
166,10708,2,1,1955,190000
167,10562,3,1,2007,325624
168,8244,3,1,2004,183500
169,16669,2,1,1981,228000
170,12358,2,1,1941,128500
171,31770,3,1,1960,215000
172,5306,2,1,1987,239000
173,10197,3,1,1961,163000
174,12416,3,1,1986,184000
175,12615,4,1,1950,243000
176,10029,4,1,1988,211000
177,13650,4,1,1958,172500
178,17423,1,1,2008,501837
179,8520,2,1,1923,100000
180,2117,3,1,2000,177000
181,7588,4,1,1920,200100
182,9060,3,1,1957,120000
183,11426,3,1,2003,200000
184,7438,3,1,1908,127000
185,22950,4,1,1892,475000
186,9947,3,1,1990,173000
187,10410,3,1,1916,135000
188,7018,2,2,1979,153337
189,4923,0,1,2001,286000
190,10570,3,1,1932,315000
191,7472,4,1,1972,184000
192,9017,3,1,1999,192000
193,2522,3,1,2004,130000
194,7180,3,1,1972,127000
195,2280,3,1,1976,148500
196,9416,3,1,2007,311872
197,25419,4,1,1918,235000
198,5520,5,1,1912,104000
199,9591,3,1,2004,274900
200,8546,2,1,2003,140000
201,10125,3,1,1977,171500
202,7000,2,1,1924,112000
203,4438,1,1,2004,149000
204,3500,2,1,1947,110000
205,11851,3,1,1990,180500
206,13673,3,1,1962,143900
207,12493,3,1,1960,141000
208,14364,3,1,1988,277000
209,8250,3,1,1964,145000
210,5604,2,1,1925,98000
211,10420,3,1,2009,186000
212,8640,3,1,2009,252678
213,13568,3,1,1995,156000
214,10900,3,1,1977,161750
215,10011,2,1,1957,134450
216,8450,3,1,2004,210000
217,9906,3,1,1925,107000
218,15660,3,1,1939,311500
219,3010,2,1,2005,167240
220,8990,2,1,2006,204900
221,8068,4,1,2002,200000
222,11475,3,1,1975,179900
223,10500,2,1,1971,97000
224,13472,3,1,2003,386250
225,1680,3,1,1971,112000
226,9950,4,1,1995,290000
227,1869,2,1,1970,106000
228,8521,3,1,1967,125000
229,3182,2,1,2005,192500
230,8760,3,1,1959,148000
231,15138,4,1,1995,403000
232,1680,2,1,1972,94500
233,10650,3,1,1976,128200
234,7851,4,1,2002,216500
235,1680,2,1,1971,89500
236,8773,3,1,2004,185500
237,9453,3,1,1993,194500
238,12030,3,1,2007,318000
239,8741,3,1,1945,113000
240,9000,3,1,2008,262500
241,3880,2,1,1945,110500
242,5000,3,1,1900,79000
243,10762,3,1,1980,120000
244,8880,3,1,1994,205000
245,10400,3,1,1988,241500
246,9142,4,2,1910,137000
247,11310,2,1,1954,140000
248,11317,3,1,2003,180000
249,159000,4,1,1958,277000
250,5350,3,1,1940,76500
251,4750,2,1,2006,235000
252,8366,3,1,2004,173000
253,9350,3,1,1964,158000
254,8400,3,1,1957,145000
255,8738,4,1,1999,230000
256,8791,3,1,2003,207500
257,8814,3,1,2006,220000
258,12435,3,1,2001,231500
259,12702,2,1,1956,97000
260,19296,3,1,1962,176000
261,9588,3,1,2007,276000
262,8471,3,1,1977,151000
263,5500,3,1,1929,130000
264,5232,2,1,1925,73000
265,12090,3,1,1981,175500
266,11207,3,1,1997,185000
267,8400,4,1,1939,179500
268,6900,2,1,1940,120500
269,7917,3,1,1976,148000
270,10728,3,1,2006,266000
271,39104,2,1,1954,241500
272,11764,4,1,1999,290000
273,9600,3,1,1958,139000
274,8314,2,1,1982,124500
275,7264,3,1,1925,205000
276,9196,3,1,2003,201000
277,19138,2,1,1951,141000
278,14450,3,1,2006,415298
279,10005,4,1,1977,192000
280,11287,3,1,1989,228500
281,7200,2,1,2006,185000
282,5063,2,1,2007,207500
283,9612,3,1,2008,244600
284,8012,2,1,1992,179200
285,4251,2,1,2006,164700
286,9786,3,1,1962,159000
287,8125,3,1,1971,88000
288,9819,3,1,1967,122000
289,8730,3,1,1915,153575
290,15611,3,1,2006,233230
291,5687,6,1,1912,135900
292,11409,3,1,1949,131000
293,16659,3,1,1977,235000
294,9600,3,1,1953,167000
295,7937,3,1,1984,142500
296,13710,4,1,1950,152000
297,7399,3,1,1997,239000
298,11700,3,1,1968,175000
299,14000,3,1,1950,158500
300,15750,2,1,1953,157000
301,16226,4,1,1998,267000
302,13704,3,1,2001,205000
303,9800,3,1,1972,149900
304,18386,3,1,1880,295000
305,10386,3,1,2004,305900
306,13474,4,1,1990,225000
307,7920,3,1,1920,89500
308,12342,1,1,1940,82500
309,12378,3,1,2003,360000
310,7685,3,1,1993,165600
311,8000,2,1,1948,132000
312,7800,3,1,1939,119900
313,215245,3,1,1965,375000
314,9600,3,1,1925,178000
315,7795,3,1,2004,188500
316,13005,4,1,1980,260000
317,9000,3,1,2006,270000
318,9900,4,1,1993,260000
319,14115,3,1,1980,187500
320,16259,4,1,2006,342643
321,12099,4,1,2004,354000
322,10380,4,1,1986,301000
323,5820,3,1,1955,126175
324,11275,5,1,1967,242000
325,5000,2,1,1941,87000
326,10846,1,1,1993,324000
327,11600,3,1,1960,145250
328,11888,5,1,1916,214500
329,6402,3,1,1920,78000
330,10624,6,2,1964,119000
331,8176,3,1,1958,139000
332,10655,3,1,2003,284000
333,8198,2,1,2004,207000
334,9042,3,1,1998,192000
335,164660,3,1,1965,228950
336,14157,3,1,2005,377426
337,9135,3,1,2002,214000
338,14145,3,1,1984,202500
339,12400,3,1,1958,155000
340,14191,4,1,2002,202900
341,8400,2,1,1950,82000
342,8544,2,2,1949,87500
343,8849,2,1,2005,266000
344,2592,3,1,1976,85000
345,6435,3,1,1939,140200
346,12772,2,1,1960,151500
347,17600,3,1,1960,157500
348,2448,2,1,2003,154000
349,20431,4,1,2005,437154
350,7820,2,1,2007,318061
351,5271,2,1,1986,190000
352,9084,3,1,1941,95000
353,8520,2,1,1928,105900
354,8400,2,1,1940,140000
355,11249,3,1,1995,177500
356,9248,3,1,1992,173000
357,4224,3,1,1976,134000
358,6930,3,1,1958,130000
359,12011,3,1,1998,280000
360,7540,2,1,1978,156000
361,9144,3,1,1940,145000
362,7301,4,1,2003,198500
363,1680,2,1,1972,118000
364,18800,3,1,1976,190000
365,10690,3,1,1920,147000
366,9500,3,1,1963,159000
367,9150,3,1,1962,165000
368,7800,2,1,1954,132000
369,9830,3,1,1959,162000
370,8121,3,1,2000,172400
371,17120,4,1,1959,134432
372,7175,2,1,1984,125000
373,10634,3,1,1953,123000
374,8200,4,1,2003,219500
375,10020,1,1,1922,61000
376,8846,2,1,1996,148000
377,11143,4,1,2004,340000
378,11394,1,1,2010,394432
379,8123,3,1,2000,179000
380,5000,3,1,1924,127000
381,7200,2,1,2006,187750
382,9245,3,1,2006,213500
383,9000,2,1,1928,76000
384,53107,3,1,1992,240000
385,3182,2,1,2004,192000
386,8410,5,1,1910,81000
387,7200,3,1,1976,125000
388,9382,3,1,1999,191000
389,12474,3,1,2007,426000
390,8405,4,1,1900,119000
391,12209,3,1,2001,215000
392,8339,3,1,1959,106500
393,7446,2,1,1941,100000
394,10134,2,1,1940,109000
395,9571,3,1,1956,129000
396,7200,2,1,1972,123000
397,7590,4,1,1962,169500
398,8967,2,1,1920,67000
399,8125,2,1,2006,241000
400,14963,1,1,1996,245500
401,8767,3,1,2005,164990
402,10200,2,1,1940,108000
403,12090,4,1,1998,258000
404,10364,3,1,1995,168000
405,9991,3,1,1976,150000
406,10480,3,1,1936,115000
407,15576,4,1,1915,177000
408,14154,3,1,2006,280000
409,10800,3,1,2007,339750
410,9571,3,1,1958,60000
411,34650,3,1,1955,145000
412,4403,2,1,2009,222000
413,8960,2,1,1927,115000
414,11228,3,1,1993,228000
415,8899,3,1,2007,181134
416,7844,3,1,1978,149500
417,22420,4,1,1918,239000
418,8160,3,1,1940,126000
419,8450,3,1,1968,142000
420,7060,2,2,1997,206300
421,16635,3,1,1977,215000
422,21750,2,1,1954,113000
423,9200,4,1,1998,315000
424,9000,2,1,1956,139000
425,3378,3,1,1946,135000
426,12800,2,1,1989,275000
427,8593,3,1,1957,109008
428,6762,2,1,2007,195400
429,11457,3,1,1988,175000
430,1680,2,1,1971,85400
431,5586,4,1,1920,79900
432,1920,2,1,1971,122500
433,10839,3,1,1997,181000
434,1890,1,1,1972,81000
435,10667,3,1,1996,212000
436,4400,2,1,1920,116000
437,6000,2,1,1926,119000
438,4280,2,1,1913,90350
439,12354,3,1,1920,110000
440,15431,2,1,2008,555000
441,12108,4,2,1955,118000
442,6240,3,1,1930,162900
443,3922,2,1,2006,172500
444,8750,4,1,1994,210000
445,9855,3,1,1956,127500
446,16492,2,1,1966,190000
447,11214,4,1,1998,199900
448,8600,3,1,1937,119500
449,6000,2,1,1948,120000
450,5684,2,1,1930,110000
451,70761,2,1,1975,280000
452,9303,3,1,1996,204000
453,9000,3,1,2008,210000
454,9297,4,2,1976,188000
455,9600,3,1,1973,175500
456,4571,4,1,1916,98000
457,53227,2,1,1954,256000
458,5100,3,1,1925,161000
459,7015,3,1,1950,110000
460,8004,3,1,2009,263435
461,7200,3,1,1936,155000
462,8281,3,1,1965,62383
463,11988,3,1,1934,188700
464,8430,3,1,1978,124000
465,3072,2,1,2004,178740
466,10628,2,1,1970,167000
467,9480,3,1,1942,146500
468,11428,3,1,2006,250000
469,9291,3,1,1993,187000
470,6820,1,1,1985,212000
471,11952,3,1,1977,190000
472,3675,2,1,2005,148000
473,14977,2,1,2006,440000
474,5330,2,1,2000,251000
475,8480,2,1,1963,132500
476,13125,3,1,1997,208900
477,13693,3,1,2006,380000
478,10637,3,1,2007,297000
479,5925,2,1,1937,89471
480,16033,3,1,2004,326000
481,11846,2,1,2003,374000
482,2500,4,1,1915,155000
483,4500,2,1,1998,164000
484,7758,3,1,1962,132500
485,9600,3,1,1950,147000
486,10289,3,1,1965,156000
487,12243,3,1,1971,175000
488,10800,3,2,1900,160000
489,1526,1,1,1970,86000
490,2665,3,1,1976,115000
491,9490,3,1,1941,133000
492,15578,3,1,2006,172785
493,7931,3,1,1960,155000
494,5784,2,1,1938,91300
495,7879,2,1,1920,34900
496,12692,4,1,1992,430000
497,9120,4,1,1925,184000
498,7800,3,1,1967,130000
499,7535,2,1,1958,120000
500,1890,3,1,1973,113000
501,9803,3,1,2005,226700
502,9170,2,1,1965,140000
503,15602,1,1,1959,289000
504,2308,3,1,1974,147000
505,7596,4,2,1952,124500
506,9554,3,1,1993,215000
507,7862,2,1,2009,208300
508,9600,3,1,1928,161000
509,9600,3,1,1959,124500
510,14559,2,1,1951,164900
511,6792,2,1,2005,202665
512,9100,3,1,1958,129900
513,9187,3,1,1983,134000
514,10594,2,1,1926,96500
515,12220,3,1,2009,402861
516,10448,3,1,1972,158000
517,10208,3,1,1996,265000
518,9531,3,1,1998,211000
519,10918,3,1,1926,234000
520,10800,3,2,1900,106250
521,11988,3,1,1957,150000
522,5000,3,1,1947,159000
523,40094,3,1,2007,184750
524,11787,3,1,1996,315750
525,7500,3,1,2005,176000
526,13300,2,1,1956,132000
527,14948,3,1,2008,446261
528,9098,2,1,1920,86000
529,32668,4,2,1957,200624
530,10200,3,1,1988,175000
531,6155,3,1,1920,128000
532,7200,2,1,1955,107500
533,5000,1,1,1946,39300
534,9056,3,1,2004,178000
535,7000,3,1,1910,107500
536,8924,3,1,1998,188000
537,12735,3,1,1972,111250
538,11553,3,1,1968,158000
539,11423,3,1,2001,272000
540,14601,2,1,2006,315000
541,11000,4,1,2000,248000
542,10140,3,1,1998,213250
543,4058,1,1,1998,133000
544,17104,3,1,2006,179665
545,13837,4,1,1988,229000
546,8737,3,1,1923,210000
547,7244,2,1,1970,129500
548,8235,2,1,1955,125000
549,9375,4,1,2003,263000
550,4043,2,1,1977,140000
551,6000,3,1,1957,112500
552,11146,3,1,2006,255500
553,8777,2,1,1949,108000
554,10625,3,1,2003,284000
555,6380,2,1,1922,113000
556,14850,2,1,1957,141000
557,11040,3,1,1920,108000
558,21872,3,1,1996,175000
559,3196,2,1,2003,234000
560,11341,3,1,1957,121500
561,10010,2,1,1974,170000
562,13907,3,1,1940,108000
563,21780,4,1,1918,185000
564,13346,4,1,1992,268000
565,6858,4,1,1915,128000
566,11198,4,1,2005,325000
567,10171,3,1,2004,214000
568,12327,1,1,1983,316600
569,7032,2,1,1979,135960
570,13101,6,2,1965,142600
571,7332,2,1,1959,120000
572,13159,3,1,2009,224500
573,9967,3,1,2000,170000
574,10500,3,1,1971,139000
575,8480,2,1,1947,118500
576,6292,3,1,1928,145000
577,11777,3,1,1966,164500
578,3604,2,1,2007,146000
579,12150,4,1,1954,131500
580,14585,3,1,1960,181900
581,12704,3,1,2008,253293
582,11841,3,1,1990,118500
583,13500,3,1,1893,325000
584,6120,3,1,1935,133000
585,11443,2,1,2005,369900
586,10267,2,1,1918,130000
587,8740,2,1,1982,137000
588,25095,1,1,1968,143000
589,9100,2,1,1930,79500
590,8320,3,1,2004,185900
591,13478,3,1,2008,451950
592,6600,2,1,1982,138000
593,4435,1,1,2003,140000
594,7990,3,1,1975,110000
595,11302,3,1,2005,319000
596,3600,3,1,1910,114504
597,3922,2,1,2006,194201
598,12984,3,1,1977,217500
599,1950,3,1,1980,151000
600,10927,3,1,2005,275000
601,9000,3,1,1937,141000
602,10041,3,1,1992,220000
603,3182,2,1,2004,151000
604,12803,3,1,2002,221000
605,13600,3,1,1965,205000
606,12464,3,1,1996,152000
607,7800,3,1,1948,225000
608,12168,4,1,1934,359100
609,7943,3,1,1961,118500
610,11050,3,1,2000,313000
611,10395,3,1,1978,148000
612,11885,3,1,2001,261500
613,8402,3,1,2007,147000
614,1491,1,1,1972,75500
615,8800,3,1,1963,137500
616,7861,3,1,2002,183200
617,7227,2,1,1954,105500
618,11694,3,1,2007,314813
619,12244,4,1,2003,305000
620,8248,2,1,1914,67000
621,10800,4,1,1974,240000
622,7064,3,1,1977,135000
623,2117,2,1,2000,168500
624,10400,4,1,1972,165150
625,10000,3,1,1962,160000
626,12342,3,1,1960,139900
627,9600,3,1,1955,153000
628,11606,5,1,1969,135000
629,9020,3,1,1964,168500
630,9000,3,1,1880,124000
631,4590,2,1,2006,209500
632,11900,3,1,1977,82500
633,9250,3,1,1954,139400
634,6979,0,2,1980,144000
635,10896,8,2,1914,200000
636,6120,1,1,1936,60000
637,6000,3,2,1954,93000
638,8777,2,1,1910,85000
639,3982,1,1,2006,264561
640,12677,1,1,2003,274000
641,7050,3,1,2001,226000
642,13860,4,1,1972,345000
643,10793,4,1,1969,152000
644,9187,2,1,2009,370878
645,10530,3,1,1971,143250
646,7200,3,1,1950,98300
647,10452,3,1,1953,155000
648,7700,4,1,1966,155000
649,1936,1,1,1970,84500
650,8125,3,1,2007,205950
651,9084,4,1,1940,108000
652,8750,2,1,1996,191000
653,10320,3,1,1906,135000
654,10437,2,1,1995,350000
655,1680,3,1,1971,88000
656,10007,3,1,1959,145500
657,7200,3,1,1931,149000
658,17503,3,1,1948,97500
659,9937,3,1,1964,167000
660,12384,3,1,1976,197900
661,46589,4,1,1994,402000
662,13560,2,1,1968,110000
663,10012,3,1,1972,137500
664,20896,1,1,2005,423000
665,11194,3,1,2000,230500
666,18450,3,1,1965,129000
667,8125,3,1,1994,193500
668,14175,3,1,1956,168000
669,11600,2,1,1922,137500
670,8633,3,1,2005,173500
671,6629,3,1,1925,103600
672,11250,3,1,1977,165000
673,14442,3,1,1957,257500
674,9200,3,1,1965,140000
675,2289,3,1,1978,148500
676,9600,4,2,1900,87000
677,9022,2,1,1924,109500
678,11844,3,1,2008,372500
679,9945,3,1,1961,128500
680,8012,2,1,1980,143000
681,4500,3,1,1932,159434
682,2887,2,1,1996,173000
683,11248,3,1,2002,285000
684,16770,4,1,1998,221000
685,5062,3,1,1984,207500
686,10207,3,1,2007,227875
687,5105,2,1,2004,148800
688,8089,2,1,2007,392000
689,7577,2,1,2005,194700
690,4426,1,1,2004,141000
691,21535,4,1,1994,755000
692,26178,4,1,1989,335000
693,5400,2,1,1921,108480
694,6120,3,1,1936,141500
695,13811,2,1,1987,176000
696,6000,2,1,1921,89000
697,6420,2,1,1952,123500
698,8450,3,1,1965,138500
699,4282,2,1,2004,196000
700,14331,3,1,2002,312500
701,9600,3,1,1969,140000
702,12438,4,1,2006,361919
703,7630,4,2,1900,140000
704,8400,3,1,2004,213000
705,5600,3,2,1930,55000
706,115149,2,1,1971,302000
707,6240,2,1,2006,254000
708,9018,3,1,2007,179540
709,7162,3,1,1966,109900
710,4130,2,1,1935,52000
711,8712,2,1,1900,102776
712,4671,2,1,1988,189000
713,9873,3,1,1970,129000
714,13517,3,1,1976,130500
715,10140,3,1,1974,165000
716,10800,3,1,1890,159500
717,10000,3,1,1973,157000
718,10542,3,1,1993,341000
719,9920,3,1,1969,128500
720,6563,2,1,1985,275000
721,4426,1,1,2004,143000
722,8120,3,1,1970,124500
723,8172,4,1,1954,135000
724,13286,3,1,2007,320000
725,6960,3,1,1970,120500
726,21695,3,1,1988,222000
727,7314,2,1,2007,194500
728,11475,4,2,1958,110000
729,6240,2,1,1925,103000
730,5389,2,1,1995,236500
731,9590,3,1,2003,187500
732,11404,3,1,1998,222500
733,10000,3,1,1961,131400
734,8978,3,1,1968,108000
735,10800,2,1,1914,163000
736,8544,2,2,1950,93500
737,10463,3,1,2005,239900
738,10800,3,1,1987,179000
739,9313,3,1,2004,190000
