,Area(sq_ft),Bedrooms,Kitchen,YearBuilt,Price
740,9600,2,1,1910,132000
741,6768,3,1,1961,142000
742,8450,3,1,2000,179000
743,12886,3,1,1963,175000
744,5395,2,1,1993,180000
745,8963,4,1,1976,299800
746,8795,4,1,2000,236000
747,11700,4,1,1880,265979
748,10593,3,1,1996,260400
749,8405,4,1,1945,98000
750,8800,3,1,1910,96500
751,7750,3,1,2003,162000
752,9236,3,1,1997,217000
753,10240,3,1,2005,275500
754,7930,3,1,1969,156000
755,3230,3,1,1999,172500
756,10769,3,1,2007,212000
757,11616,3,1,1978,158900
758,2280,3,1,1999,179400
759,12257,4,1,1995,290000
760,9100,2,1,1959,127500
761,6911,2,1,1924,100000
762,8640,3,1,2009,215200
763,9430,3,1,1999,337000
764,9549,2,1,1995,270000
765,14587,2,1,2008,264132
766,10421,3,1,1988,196500
767,12508,4,1,1940,160000
768,9100,3,1,2004,216837
769,53504,4,1,2003,538000
770,7252,2,1,1982,134900
771,8877,2,1,1951,102000
772,7819,3,1,1976,107000
773,10150,2,1,1958,114500
774,14226,3,1,2006,395000
775,4500,2,1,1998,162000
776,11210,3,1,2005,221500
777,13350,3,1,1974,142500
778,8400,4,2,1977,144000
779,10530,2,1,1977,135000
780,7875,3,1,1995,176000
781,7153,3,1,1992,175900
782,16285,3,1,2001,187100
783,9101,1,1,1978,165500
784,6300,3,1,1914,128000
785,9790,3,1,1967,161500
786,10800,4,1,1915,139000
787,10142,4,1,2004,233000
788,6000,2,1,1954,107900
789,12205,5,1,1966,187500
790,3182,2,1,2005,160200
791,11333,3,1,1976,146800
792,9920,3,1,1996,269790
793,9158,3,1,2007,225000
794,10832,3,1,1994,194500
795,8400,3,1,1980,171000
796,8197,3,1,1977,143500
797,7677,2,1,1953,110000
798,13518,4,1,2008,485000
799,7200,3,1,1937,175000
800,12798,4,1,1997,200000
801,4800,2,1,1916,109900
802,8199,3,1,2005,189000
803,13891,4,1,2008,582933
804,9000,2,1,1954,118000
805,12274,3,1,2008,227680
806,9750,3,1,1967,135500
807,21384,3,1,1923,223500
808,13400,3,1,1966,159950
809,8100,2,3,1898,106000
810,10140,3,1,1974,181000
811,4438,1,1,2004,144500
812,8712,2,1,1952,55993
813,9750,4,1,1958,157900
814,8248,3,1,1918,116000
815,12137,3,1,1998,224900
816,11425,2,1,1954,137000
817,13265,3,1,2002,271000
818,8816,3,1,1971,155000
819,6371,2,1,2009,224000
820,7226,3,1,2003,183000
821,6000,2,1,1953,93000
822,12394,3,1,2003,225000
823,9900,3,1,1940,139500
824,11216,3,1,2006,232600
825,14803,2,1,2007,385000
826,6130,2,1,1924,109500
827,8529,3,1,2001,189000
828,28698,3,1,1967,185000
829,2544,2,1,2005,147400
830,11900,3,1,1957,166000
831,3180,2,1,2005,151000
832,9548,3,1,2003,237000
833,10004,3,1,1964,167000
834,7875,3,1,1961,139950
835,9600,2,1,1950,128000
836,8100,2,1,1948,153500
837,1680,2,1,1973,100000
838,9525,3,1,1995,144000
839,11767,3,1,1946,130500
840,12155,4,1,1925,140000
841,10440,3,1,1904,157500
842,9020,3,1,1966,174900
843,8000,6,2,1961,141000
844,12665,4,1,1915,153900
845,16647,3,1,1975,171000
846,9317,3,1,1993,213000
847,15523,3,1,1972,133500
848,45600,5,1,1908,240000
849,9600,3,1,1976,187000
850,4435,1,1,2003,131500
851,3196,2,1,2003,215000
852,7128,4,1,1941,164000
853,12095,3,1,1964,158000
854,17920,3,1,1955,170000
855,6897,3,1,1962,127000
856,10970,3,1,1978,147000
857,8125,3,1,1994,174000
858,10400,3,1,1976,152000
859,11029,4,1,1968,250000
860,7642,3,1,1918,189950
861,11625,3,1,1965,131500
862,9672,3,1,1984,152000
863,7931,3,1,1959,132500
864,8640,3,1,2007,250580
865,8750,3,1,1970,148500
866,10656,3,1,2006,248900
867,6970,3,1,1961,129000
868,14762,2,1,1948,169000
869,9938,3,1,1993,236000
870,6600,2,1,1962,109500
871,8750,3,1,1998,200500
872,8892,3,1,1953,116000
873,12144,3,1,1949,133000
874,5720,3,1,1941,66500
875,9000,4,1,2007,303477
876,25286,3,1,1963,132250
877,8834,4,1,2004,350000
878,11782,3,1,1961,148000
879,7000,3,1,1978,136500
880,7024,2,1,2005,157000
881,13758,3,1,1990,187500
882,9636,3,1,1992,178000
883,6204,5,1,1912,118500
884,7150,3,1,1967,100000
885,5119,2,1,1999,328900
886,8393,4,2,1959,145000
887,16466,3,1,1955,135500
888,15865,4,1,1970,268000
889,12160,2,1,1953,149500
890,8064,3,1,1949,122900
891,11184,3,1,1978,172500
892,8414,3,1,1963,154500
893,13284,3,1,1954,165000
894,7018,4,2,1979,118858
895,7056,4,1,1963,140000
896,8765,2,1,1936,106500
897,7018,6,2,1979,142953
898,12919,2,1,2009,611657
899,6993,3,1,1961,135000
900,7340,2,1,1971,110000
901,8712,2,1,1957,153000
902,7875,3,1,2003,180000
903,14859,3,1,2006,240000
904,6173,3,1,1967,125500
905,9920,3,1,1954,128000
906,13501,3,1,2006,255000
907,11500,3,1,1936,250000
908,8885,2,1,1983,131000
909,12589,3,1,2005,174000
910,11600,5,2,1960,154300
911,9286,3,1,1977,143500
912,6120,3,1,1925,88000
913,6270,4,2,1949,145000
914,3000,2,1,2009,173733
915,2001,3,1,1970,75000
916,9000,1,1,1949,35311
917,17140,3,1,1956,135000
918,13125,4,1,1991,238000
919,11029,3,1,1958,176500
920,8462,3,1,1994,201000
921,8777,4,2,1900,145900
922,10237,3,1,2005,169990
923,8012,2,1,1993,193000
924,10240,3,1,1980,207500
925,15611,3,1,1977,175000
926,11999,4,1,2003,285000
927,9900,4,1,1968,176000
928,11838,3,1,2001,236500
929,13006,4,1,1997,222000
930,8925,3,1,2007,201000
931,9100,2,1,1965,117500
932,11670,3,1,2006,320000
933,8487,3,1,2004,190000
934,27650,4,1,1960,242000
935,5825,1,1,1926,79900
936,10083,2,1,2003,184900
937,9675,3,1,2005,253000
938,8760,3,1,2006,239799
939,24090,4,1,1940,244400
940,12640,4,2,1976,150900
941,8755,3,1,1999,214000
942,7711,4,2,1977,150000
943,25000,4,2,1967,143000
944,14375,3,1,1958,137500
945,8820,2,1,1890,124900
946,8163,3,1,1959,143000
947,14536,3,1,2002,270000
948,14006,3,1,2002,192500
949,9360,3,1,1972,197500
950,7200,3,1,1950,129000
951,7800,3,1,1965,119900
952,7200,2,1,1972,133900
953,11075,4,1,1969,172000
954,9400,4,0,1975,127500
955,7136,4,2,1946,145000
956,1300,2,1,1980,124000
957,7420,3,1,1962,132000
958,8450,3,1,2003,185000
959,2572,3,1,1999,155000
960,7207,2,1,1958,116500
961,12227,4,1,1977,272000
962,2308,3,1,1976,155000
963,11923,2,1,2007,239000
964,11316,4,1,2002,214900
965,10237,3,1,2005,178900
966,9600,2,1,1940,160000
967,7390,3,1,1955,135000
968,5925,2,1,1910,37900
969,10382,2,1,1958,140000
970,10800,4,1,1949,135000
971,2268,2,1,2003,173000
972,7892,2,1,1979,99500
973,11639,3,1,2007,182000
974,11414,3,1,1910,167500
975,2651,3,1,2000,165000
976,5900,2,1,1923,85500
977,4274,1,1,2006,199900
978,9450,3,1,1954,110000
979,8816,3,1,1963,139000
980,12122,3,1,1961,178400
981,12203,4,1,1998,336000
982,3182,2,1,2007,159895
983,11250,4,1,2002,255900
984,10125,4,2,1977,126000
985,10880,3,1,1950,125000
986,5310,2,1,1910,117000
987,10159,3,1,2009,395192
988,12046,4,1,1976,195000
989,8125,3,1,2006,197000
990,9452,3,1,1997,348000
991,17671,4,1,1882,168000
992,9760,3,1,1964,187000
993,8846,3,1,2005,173900
994,12456,3,1,2006,337500
995,4712,3,1,1946,121600
996,10659,3,1,1961,136500
997,11717,2,1,1970,185000
998,9786,3,1,1922,91000
999,6762,2,1,2006,206000
1000,10206,2,1,1952,82000
1001,5400,2,1,1920,86000
1002,11957,3,1,2006,232000
1003,11500,4,2,1976,136905
1004,3182,1,1,2005,181000
1005,8385,3,1,1977,149900
1006,12155,3,1,1970,163500
1007,2217,3,1,1970,88000
1008,12118,3,1,2004,240000
1009,6000,4,1,1926,102000
1010,21286,4,1,1948,135000
1011,9825,4,2,1965,100000
1012,10592,3,1,1923,165000
1013,7200,2,1,1910,85000
1014,11664,2,1,1948,119200
1015,8400,3,1,2001,227000
1016,11883,3,1,1996,203000
1017,5814,1,1,1984,187500
1018,10784,3,1,1991,160000
1019,3013,2,1,2005,213490
1020,7024,2,1,2005,176000
1021,7406,2,1,2006,194000
1022,9439,2,1,1930,87000
1023,3182,2,1,2005,191000
1024,15498,2,1,1976,287000
1025,7700,3,1,1972,112500
1026,9300,3,1,1960,167500
1027,9520,3,1,2007,293077
1028,9492,3,1,1941,105000
1029,1680,3,1,1972,118000
1030,7082,5,2,1916,160000
1031,15863,5,1,1920,197000
1032,14541,5,1,1993,310000
1033,8125,3,1,2002,230000
1034,6305,2,1,1938,119750
1035,11500,3,1,1957,84000
1036,12898,2,1,2007,315500
1037,9240,3,1,2001,287000
1038,1533,3,1,1970,97000
1039,1477,1,1,1970,80000
1040,13125,3,1,1957,155000
1041,9130,4,1,1966,173000
1042,5381,1,1,2005,196000
1043,11839,4,1,1990,262280
1044,9600,4,1,1981,278000
1045,13680,4,1,1955,139600
1046,16056,4,1,2005,556581
1047,9245,3,1,1994,145000
1048,21750,3,1,1960,115000
1049,11100,2,1,1946,84900
1050,8993,3,1,2007,176485
1051,11175,3,1,2007,200141
1052,9500,4,1,1964,165000
1053,8562,4,1,1957,144500
1054,11367,3,1,2002,255000
1055,11361,3,1,1976,180000
1056,7052,2,1,2005,185850
1057,29959,3,1,1994,248000
1058,11308,3,1,2008,335000
1059,11275,3,1,1932,220000
1060,4920,2,1,2001,213500
1061,18000,2,1,1935,81000
1062,13600,5,2,1900,90000
1063,6000,2,1,1925,110500
1064,11000,3,1,1966,154000
1065,14000,3,1,1996,328000
1066,7837,3,1,1993,178000
1067,9760,4,1,1964,167900
1068,3964,5,1,1973,151400
1069,9600,2,1,1949,135000
1070,10152,3,1,1956,135000
1071,11700,4,1,1968,154000
1072,7585,4,1,1948,91500
1073,7950,3,1,1977,159500
1074,8556,2,1,2006,194000
1075,13125,3,1,1940,219500
1076,10800,3,1,1936,170000
1077,15870,3,1,1969,138800
1078,4435,1,1,2004,155900
1079,8775,3,1,1994,126000
1080,11040,3,1,1971,145000
1081,7500,3,1,1963,133000
1082,8749,3,1,2002,192000
1083,8800,3,1,1964,160000
1084,13031,3,1,1995,187500
1085,9069,2,1,1992,147000
1086,1974,3,1,1973,83500
1087,10574,3,1,2005,252000
1088,2522,3,1,2004,137500
1089,3316,1,1,2005,197000
1090,8544,2,2,1950,92900
1091,2160,2,1,1999,160000
1092,8400,4,1,1925,136500
1093,9230,1,1,1965,146000
1094,5868,2,1,1956,129000
1095,9317,3,1,2006,176432
1096,6882,3,1,1914,127000
1097,3696,2,1,1986,170000
1098,6000,3,1,1936,128000
1099,11880,3,1,1978,157000
1100,8400,1,1,1920,60000
1101,9758,3,1,1971,119500
1102,7000,2,1,1960,135000
1103,8910,3,1,1959,159500
1104,2016,3,1,1970,106000
1105,12256,3,1,1994,325000
1106,10357,3,1,1990,179900
1107,23257,3,1,2006,274725
1108,8063,3,1,2000,181000
1109,11362,3,1,2004,280000
1110,8000,3,1,1995,188000
1111,10480,4,1,1976,205000
1112,7100,2,1,1957,129900
1113,8923,2,1,1953,134500
1114,5400,2,1,1954,117000
1115,12085,3,1,2007,318000
1116,7750,3,1,2002,184100
1117,9764,3,1,1967,130000
1118,13825,3,1,1958,140000
1119,7560,3,1,1959,133700
1120,8263,2,1,1920,118400
1121,10084,3,1,2005,212900
1122,8926,3,1,1956,112000
1123,9405,2,1,1947,118000
1124,9125,3,1,1992,163900
1125,10434,2,1,1955,115000
1126,3684,2,1,2007,174000
1127,14572,3,1,2004,259000
1128,11796,4,1,2004,215000
1129,7200,2,1,1980,140000
1130,7804,4,1,1928,135000
1131,10712,3,1,1991,93500
1132,9900,5,1,1880,117500
1133,9828,3,1,1995,239500
1134,8773,3,1,1997,169000
1135,6180,2,1,1926,102000
1136,9600,3,1,1950,119000
1137,6342,2,1,1875,94000
1138,9819,2,1,1977,196000
1139,8731,3,1,1920,144000
1140,7350,2,1,1951,139000
1141,10304,4,1,1976,197500
1142,9965,4,1,2006,424870
1143,9000,3,1,1959,80000
1144,12180,2,1,1941,80000
1145,6240,3,1,1928,149000
1146,11200,3,1,1985,180000
1147,12000,3,1,1941,174500
1148,5700,2,1,1926,116900
1149,9000,3,1,1920,143000
1150,8280,2,1,1950,124000
1151,17755,3,1,1959,149900
1152,14115,2,1,1956,230000
1153,5890,2,1,1930,120500
1154,13700,4,1,1965,201800
1155,10768,3,1,1976,218000
1156,9350,3,1,1965,179900
1157,5001,2,1,2007,230000
1158,11932,3,1,2007,235128
1159,9120,4,1,1974,185000
1160,2280,3,1,1978,146000
1161,14778,3,1,1954,224000
1162,8724,3,1,1968,129000
1163,12900,0,2,1969,108959
1164,16157,2,1,1978,194000
1165,9541,3,1,2009,233170
1166,10475,3,1,2008,245350
1167,10852,3,1,2000,173000
1168,13728,4,1,1935,235000
1169,35760,4,1,1995,625000
1170,9880,3,1,1977,171000
1171,9120,3,1,1958,163000
1172,4017,2,1,2006,171900
1173,18030,3,1,1946,200500
1174,16560,4,1,1932,239000
1175,10678,4,1,1992,285000
1176,6951,3,1,1984,119500
1177,3950,3,1,1926,115000
1178,7681,3,1,1921,154900
1179,8335,3,1,1954,93000
1180,11170,4,1,1990,250000
1181,5587,2,1,2008,392500
1182,15623,4,1,1996,745000
1183,10800,2,1,1920,120000
1184,35133,3,1,1963,186700
1185,9738,4,1,1924,104900
1186,10615,3,2,1900,95000
1187,12461,2,1,1994,262000
1188,8935,3,1,2002,195000
1189,7500,3,1,1999,189000
1190,32463,3,1,1961,168000
1191,2645,2,1,1999,174000
1192,9600,3,1,1925,125000
1193,4500,2,1,1999,165000
1194,9364,4,1,1969,158000
1195,8029,3,1,2005,176000
1196,14054,4,1,2006,219210
1197,8850,3,1,1916,144000
1198,9100,3,1,2001,178000
1199,11235,3,1,1963,148000
1200,9353,3,1,1970,116050
1201,10400,3,1,1998,197900
1202,6000,3,1,1925,117000
1203,9750,3,1,2000,213000
1204,10140,3,1,1975,153500
1205,14684,3,1,1990,271900
1206,8900,2,1,1966,107000
1207,9135,3,1,2003,200000
1208,7763,3,1,1962,140000
1209,10182,3,1,2006,290000
1210,11218,3,1,1992,189000
1211,12134,4,1,1988,164000
1212,9340,2,1,1941,113000
1213,10246,0,1,1965,145000
1214,10205,3,1,1962,134500
1215,7094,3,1,1966,125000
1216,8930,4,2,1978,112000
1217,8640,3,1,2009,229456
1218,6240,2,1,1947,80500
1219,1680,3,1,1971,91500
1220,7800,2,1,1964,115000
1221,8250,3,1,1968,134000
1222,10496,3,1,1949,143000
1223,10680,4,1,1951,137900
1224,15384,3,1,2004,184000
1225,10482,3,1,1958,145000
1226,14598,4,1,2007,214000
1227,8872,2,1,1965,147000
1228,8769,1,1,2008,367294
1229,7910,4,1,1960,127000
1230,18890,4,2,1977,190000
1231,7728,3,1,1962,132500
1232,9842,2,2,1962,101800
1233,12160,3,1,1959,142000
1234,8525,4,1,1911,130000
1235,13132,4,1,1914,138887
1236,2628,2,1,2003,175500
1237,12393,4,1,2004,195000
1238,13072,3,1,2005,142500
1239,9037,2,1,2006,265900
1240,8158,3,1,2003,224900
1241,9849,3,1,2007,248328
1242,10625,3,1,1974,170000
1243,13891,2,1,2006,465000
1244,11435,3,1,1929,230000
1245,12090,3,1,1984,178000
1246,8125,3,1,2005,186500
1247,12328,3,1,1976,169900
1248,9600,3,1,1917,129500
1249,7200,3,1,1950,119000
1250,11160,3,1,1968,244000
1251,3136,2,1,2003,171750
1252,9858,3,1,1968,130000
1253,17542,3,1,1974,294000
1254,6931,3,1,2003,165400
1255,6240,3,1,1931,127500
1256,14303,2,1,1994,301500
1257,4060,2,1,1922,99900
1258,9587,2,1,2005,190000
1259,9750,3,1,1969,151000
1260,24682,3,1,1999,181000
1261,9600,2,1,1956,128900
1262,11250,5,1,1957,161500
1263,13515,3,1,1919,180500
1264,4060,2,1,1998,181000
1265,3735,3,1,1999,183900
1266,10120,4,2,1910,122000
1267,13214,3,1,2008,378500
1268,14100,4,1,1935,381000
1269,11344,3,1,1958,144000
1270,23595,0,1,1979,260000
1271,9156,3,1,1968,185750
1272,13526,3,1,1965,137000
1273,11512,2,1,1959,177000
1274,5362,3,1,1910,139000
1275,11345,4,2,1948,137000
1276,12936,3,1,1972,162000
1277,17871,3,1,1967,197900
1278,9473,3,1,2002,237000
1279,7500,2,1,1920,68400
1280,9808,3,1,2002,227000
1281,8049,2,1,1990,180000
1282,8800,3,1,1977,150500
1283,9400,4,2,1971,139000
1284,9638,4,1,1919,169000
1285,6000,4,1,1939,132500
1286,9790,3,1,1963,143000
1287,36500,4,1,1964,190000
1288,5664,2,1,2000,278000
1289,11065,3,1,2006,281000
1290,14112,3,1,1964,180500
1291,1680,3,1,1972,119500
1292,6600,4,2,1892,107500
1293,10140,4,1,1976,162900
1294,8172,2,1,1955,115000
1295,8400,3,1,1968,138500
1296,8700,3,1,1963,155000
1297,3675,2,1,2005,140000
1298,63887,3,1,2008,160000
1299,7500,3,1,1959,154000
1300,10762,3,1,1999,225000
1301,7500,3,1,1942,177500
1302,10120,4,1,1994,290000
1303,8688,3,1,2005,232000
1304,3363,3,1,2004,130000
1305,13173,2,1,2006,325000
1306,6955,2,1,2005,202500
1307,8072,3,1,1994,138000
1308,12000,2,1,1948,147000
1309,7153,3,1,1991,179200
1310,17500,3,1,1959,335000
1311,8814,3,1,2005,203000
1312,9572,4,1,1990,302000
1313,14774,4,1,1999,333168
1314,8190,3,1,1954,119000
1315,11075,4,1,1969,206900
1316,10226,3,1,2008,295493
1317,4230,2,1,2006,208900
1318,14781,3,1,2001,275000
1319,10215,3,1,1954,111000
1320,8400,3,1,1957,156500
1321,6627,2,1,1949,72500
1322,10186,3,1,1992,190000
1323,5330,2,1,1940,82500
1324,9986,2,1,2006,147000
1325,3636,2,1,1922,55000
1326,4270,3,1,1931,79000
1327,6600,3,1,1982,130500
1328,10440,5,1,1920,256000
1329,9084,3,1,1998,176500
1330,10000,3,1,2006,227000
1331,10780,3,1,1976,132500
1332,8877,2,1,1938,100000
1333,7200,2,1,1938,125500
1334,2368,3,1,1970,125000
1335,9650,2,1,1977,167900
1336,9246,4,2,1973,135000
1337,4118,2,1,1941,52500
1338,13450,3,1,2002,200000
1339,9560,3,1,1972,128500
1340,8294,3,1,1971,123000
1341,13695,3,1,2003,155000
1342,9375,3,1,2002,228500
1343,7558,3,1,1928,177000
1344,11103,3,1,2006,155835
1345,6000,2,1,1920,108500
1346,20781,3,1,1968,262500
1347,15306,3,1,2006,283463
1348,16196,3,1,1998,215000
1349,5250,4,1,1872,122000
1350,11643,6,2,1969,200000
1351,9247,4,1,1962,171000
1352,6000,2,1,1937,134900
1353,14720,4,1,1995,410000
1354,10316,3,1,2000,235000
1355,10192,4,1,1968,170000
1356,9477,3,1,1966,110000
1357,12537,3,1,1971,149900
1358,2117,3,1,2000,177500
1359,16737,3,1,2004,315000
1360,9842,4,1,1921,189000
1361,16158,3,1,2005,260000
1362,12513,4,1,1920,104900
1363,8499,3,1,2006,156932
1364,3180,2,1,2005,144152
1365,7500,3,1,2000,216000
1366,9179,3,1,1999,193000
1367,2665,4,1,1977,127000
1368,4435,1,1,2003,144000
1369,10635,3,1,2003,232000
1370,5400,2,1,1920,105000
1371,9600,3,1,1955,165500
1372,9750,3,1,1998,274300
1373,11400,2,1,2001,466500
1374,10625,3,1,2005,250000
1375,10991,3,1,2007,239000
1376,6292,2,1,1930,91000
1377,10998,3,1,1941,117000
1378,1953,2,1,1973,83000
1379,9735,3,1,2006,167500
1380,8212,2,1,1914,58500
1381,12925,4,1,1970,237500
1382,7200,4,1,1920,157000
1383,25339,3,1,1918,112000
1384,9060,2,1,1939,105000
1385,5436,3,1,1922,125500
1386,16692,5,1,1978,250000
1387,8520,5,1,1916,136000
1388,14892,3,1,2006,377500
1389,6000,3,1,1941,131000
1390,9100,3,1,2000,235000
1391,8944,4,2,1967,124000
1392,7838,3,1,1967,123000
1393,10800,3,2,1905,163000
1394,4045,2,1,2006,246578
1395,12665,4,1,2005,281213
1396,57200,3,1,1948,160000
1397,6120,4,1,1920,137500
1398,7200,3,1,1950,138000
1399,6171,3,1,1925,137450
1400,6000,3,1,1929,120000
1401,7415,3,1,2004,193000
1402,6762,2,1,2006,193879
1403,15256,3,1,2007,282922
1404,10410,3,1,1915,105000
1405,3842,2,1,2004,275000
1406,8445,2,1,1972,133000
1407,8780,3,1,1985,112000
1408,7740,3,1,1910,125500
1409,20544,3,1,1986,215000
1410,12420,3,1,2001,230000
1411,9600,3,1,1950,140000
1412,7200,2,2,1949,90000
1413,10994,2,1,2005,257000
1414,13053,4,1,1923,207000
1415,3635,1,1,2007,175900
1416,11340,4,2,1885,122500
1417,16545,3,1,1998,340000
1418,9204,3,1,1963,124000
1419,16381,3,1,1969,223000
1420,11700,3,1,1968,179900
1421,4043,2,1,1977,127500
1422,4435,1,1,2003,136500
1423,19690,4,1,1966,274970
1424,9503,2,1,1958,144000
1425,10721,3,1,1959,142000
1426,10944,3,1,1994,271000
1427,10930,3,1,1945,140000
1428,7200,2,1,1940,119000
1429,12546,3,1,1981,182900
1430,21930,4,1,2005,192140
1431,4928,2,1,1976,143750
1432,10800,4,1,1927,64500
1433,10261,3,1,2000,186500
1434,17400,3,1,1977,160000
1435,8400,3,1,1962,174000
1436,9000,3,1,1971,120500
1437,12444,2,1,2008,394617
1438,7407,2,1,1957,149700
1439,11584,3,1,1979,197000
1440,11526,3,1,1922,191000
1441,4426,1,1,2004,149300
1442,11003,3,1,2008,310000
1443,8854,2,1,1916,121000
1444,8500,3,1,2004,179600
1445,8400,3,1,1966,129000
1446,26142,3,1,1962,157900
1447,10000,3,1,1995,240000
1448,11767,2,1,1910,112000
1449,1533,1,1,1970,92000
1450,9000,4,2,1974,136000
1451,9262,3,1,2008,287090
1452,3675,2,1,2005,145000
1453,17217,3,1,2006,84500
1454,7500,2,1,2004,185000
1455,7917,3,1,1999,175000
1456,13175,3,1,1978,210000
1457,9042,4,1,1941,266500
1458,9717,2,1,1950,142125
1459,9937,3,1,1965,147500
